index,time,wether,error,moving,no
156,2014/11/7 22:00,12.04,0.21033,0.0068,217
157,2014/11/7 23:00,13.29,0.43373,0.002,379
158,2014/11/8 0:00,20.9,0.98131,0.045,200
159,2014/11/8 1:00,23.23,0.08578,0.0993,316
160,2014/11/8 2:00,24.32,0.3458,0.0506,487
161,2014/11/8 3:00,20.63,0.21065,0.0152,200
162,2014/11/8 4:00,23.96,0.9649,0.08,309
163,2014/11/8 5:00,12.69,0.30952,0.0439,414
164,2014/11/8 6:00,14.85,0.24596,0.0342,224
165,2014/11/8 7:00,12.2,0.81428,0.0757,272
166,2014/11/8 8:00,24.71,0.55689,0.0182,131
167,2014/11/8 9:00,12.46,0.35271,0.0293,209
168,2014/11/8 10:00,12.37,0.36487,0.0386,489
169,2014/11/8 11:00,13.66,0.00624,0.0626,465
170,2014/11/8 12:00,23.74,0.02573,0.0167,273
171,2014/11/8 13:00,22.22,0.7166,0.0778,164
172,2014/11/8 14:00,13.32,0.67867,0.0936,288
173,2014/11/8 15:00,10.02,0.33414,0.0489,461
174,2014/11/8 16:00,24.78,0.16777,0.0394,30
175,2014/11/8 17:00,14.17,0.15792,0.0423,459
176,2014/11/8 18:00,18.34,0.15315,0.0479,428
177,2014/11/8 19:00,11.38,0.65556,0.0355,471
178,2014/11/8 20:00,21.25,0.95101,0.0198,47
179,2014/11/8 21:00,23.2,0.17346,0.0676,276
180,2014/11/8 22:00,18.5,0.90517,0.0097,457
181,2014/11/8 23:00,22.7,0.81246,0.0705,423
182,2014/11/9 0:00,16.37,0.75393,0.041,470
183,2014/11/9 1:00,12.14,0.67941,0.0391,23
184,2014/11/9 2:00,24.75,0.54235,0.0556,31
185,2014/11/9 3:00,19.44,0.46092,0.0928,94
186,2014/11/9 4:00,18.45,0.36629,0.0907,238
187,2014/11/9 5:00,10.08,0.83188,0.0891,34
188,2014/11/9 6:00,19.93,0.79801,0.0944,452
189,2014/11/9 7:00,24.05,0.79832,0.0931,296
190,2014/11/9 8:00,12.67,0.27946,0.0533,416
191,2014/11/9 9:00,18.77,0.05083,0.0333,324
192,2014/11/9 10:00,22.31,0.44393,0.0014,426
193,2014/11/9 11:00,17.62,0.34642,0.042,320
194,2014/11/9 12:00,17.79,0.03376,0.0042,50
195,2014/11/9 13:00,20.15,0.13065,0.023,352
196,2014/11/9 14:00,22.65,0.6052,0.0107,260
197,2014/11/9 15:00,20.47,0.93241,0.076,14
198,2014/11/9 16:00,15.64,0.1721,0.08,286
199,2014/11/9 17:00,10.99,0.05685,0.0617,389
200,2014/11/9 18:00,20.39,0.92388,0.0853,226
201,2014/11/9 19:00,16.64,0.34612,0.0683,34
202,2014/11/9 20:00,11.66,0.40754,0.0184,36
203,2014/11/9 21:00,24.12,0.32752,0.0456,270
204,2014/11/9 22:00,17.61,0.08257,0.019,54
205,2014/11/9 23:00,10.11,0.70234,0.0721,84
206,2014/11/10 0:00,24.27,0.70887,0.0111,293
207,2014/11/10 1:00,21.9,0.17788,0.0549,355
208,2014/11/10 2:00,10.09,0.27751,0.0304,35
209,2014/11/10 3:00,16.78,0.82429,0.0477,85
210,2014/11/10 4:00,18.25,0.05064,0.094,203
211,2014/11/10 5:00,14.24,0.56628,0.0687,213
212,2014/11/10 6:00,19.92,0.65224,0.0875,31
213,2014/11/10 7:00,13.51,0.59699,0.0626,131
214,2014/11/10 8:00,18.96,0.17065,0.0448,490
215,2014/11/10 9:00,21.54,0.00069,0.0556,142
216,2014/11/10 10:00,24.63,0.58451,0.0565,168
217,2014/11/10 11:00,12.4,0.80553,0.0886,158
218,2014/11/10 12:00,19.52,0.52687,0.0306,122
219,2014/11/10 13:00,13.69,0.19988,0.0829,31
220,2014/11/10 14:00,13.04,0.32527,0.0968,220
221,2014/11/10 15:00,13.72,0.34672,0.0783,299
222,2014/11/10 16:00,17.36,0.06472,0.0904,186
223,2014/11/10 17:00,10.82,0.94496,0.089,466
224,2014/11/10 18:00,17.83,0.90455,0.0865,113
225,2014/11/10 19:00,13.42,0.49056,0.098,269
226,2014/11/10 20:00,24.78,0.86267,0.0392,111
227,2014/11/10 21:00,10.95,0.81894,0.029,15
228,2014/11/10 22:00,16.4,0.84956,0.0458,160
229,2014/11/10 23:00,20.98,0.7335,0.0012,265
230,2014/11/11 0:00,24.36,0.57728,0.0449,268
231,2014/11/11 1:00,23.53,0.99952,0.0451,348
232,2014/11/11 2:00,13.02,0.56806,0.0041,40
233,2014/11/11 3:00,19.45,0.51916,0.0951,246
234,2014/11/11 4:00,14.26,0.72881,0.0255,377
235,2014/11/11 5:00,13.97,0.58025,0.0841,111
236,2014/11/11 6:00,10.55,0.86823,0.0636,386
237,2014/11/11 7:00,21.92,0.14676,0.0779,65
238,2014/11/11 8:00,19.64,0.16395,0.0207,195
239,2014/11/11 9:00,13.55,0.33056,0.0721,250
240,2014/11/11 10:00,24.99,0.47597,0.037,347
241,2014/11/11 11:00,11.04,0.84499,0.0972,330
242,2014/11/11 12:00,13.63,0.73857,0.0309,42
243,2014/11/11 13:00,12.06,0.82805,0.0691,323
244,2014/11/11 14:00,15.69,0.9905,0.0066,36
245,2014/11/11 15:00,13.57,0.28814,0.0521,68
246,2014/11/11 16:00,16.63,0.19987,0.0377,202
247,2014/11/11 17:00,24.83,0.25927,0.0721,79
248,2014/11/11 18:00,11.23,0.36876,0.0905,217
249,2014/11/11 19:00,20.29,0.27072,0.0149,354
250,2014/11/11 20:00,16.43,0.67755,0.0351,460
251,2014/11/11 21:00,10.93,0.04919,0.0657,438
252,2014/11/11 22:00,21.85,0.32797,0.0831,199
253,2014/11/11 23:00,15.42,0.99377,0.0568,442
254,2014/11/12 0:00,11.85,0.99704,0.007,45
255,2014/11/12 1:00,21.59,0.59057,0.0865,377
256,2014/11/12 2:00,11.19,0.80832,0.0656,93
257,2014/11/12 3:00,19.91,0.34582,0.0251,359
258,2014/11/12 4:00,23.54,0.15526,0.0341,316
259,2014/11/12 5:00,18.65,0.313,0.067,339
260,2014/11/12 6:00,15.46,0.48279,0.0452,100
261,2014/11/12 7:00,24.58,0.687,0.0402,226
262,2014/11/12 8:00,21.36,0.99373,0.0691,91
263,2014/11/12 9:00,16.55,0.35322,0.0262,350
264,2014/11/12 10:00,16.89,0.12541,0.0515,169
265,2014/11/12 11:00,22.23,0.58537,0.0416,133
266,2014/11/12 12:00,13.06,0.94495,0.0694,319
267,2014/11/12 13:00,17.63,0.21797,0.0344,163
268,2014/11/12 14:00,11.65,0.80742,0.0264,235
269,2014/11/12 15:00,17.45,0.6766,0.0886,421
270,2014/11/12 16:00,10.2,0.52263,0.0387,122
271,2014/11/12 17:00,24.65,0.25711,0.0163,147
272,2014/11/12 18:00,12.08,0.82845,0.0954,221
273,2014/11/12 19:00,18.23,0.6106,0.0022,208
274,2014/11/12 20:00,15.82,0.31558,0.0655,328
275,2014/11/12 21:00,10.43,0.94527,0.0488,356
276,2014/11/12 22:00,15.22,0.48143,0.0927,146
277,2014/11/12 23:00,18.03,0.34535,0.0081,38
278,2014/11/13 0:00,21.83,0.35027,0.0404,279
279,2014/11/13 1:00,22.04,0.89382,0.0656,315
280,2014/11/13 2:00,11.97,0.5557,0.0803,431
281,2014/11/13 3:00,24.95,0.75531,0.045,206
282,2014/11/13 4:00,17,0.27811,0.0179,105
283,2014/11/13 5:00,12.24,0.44497,0.0244,369
284,2014/11/13 6:00,21.69,0.05667,0.0458,497
285,2014/11/13 7:00,19.32,0.54537,0.0161,106
286,2014/11/13 8:00,14.83,0.38377,0.0828,448
287,2014/11/13 9:00,14.88,0.35482,0.0098,414
288,2014/11/13 10:00,19.24,0.4767,0.0978,226
289,2014/11/13 11:00,18.44,0.00538,0.0265,452
290,2014/11/13 12:00,22.56,0.87992,0.0897,225
291,2014/11/13 13:00,18.73,0.09806,0.05,81
292,2014/11/13 14:00,19.72,0.62876,0.0274,208
293,2014/11/13 15:00,10.61,0.47717,0.0937,320
294,2014/11/13 16:00,14.53,0.78496,0.0616,101
295,2014/11/13 17:00,20.43,0.32443,0.0918,408
296,2014/11/13 18:00,14.73,0.3181,0.01,423
297,2014/11/13 19:00,20.14,0.73435,0.0329,240
298,2014/11/13 20:00,14.22,0.54608,0.0136,323
299,2014/11/13 21:00,17.33,0.92856,0.0553,79
300,2014/11/13 22:00,12.96,0.78915,0.0297,483
301,2014/11/13 23:00,16.53,0.24402,0.0376,340
302,2014/11/14 0:00,15.75,0.84544,0.0279,387
303,2014/11/14 1:00,13.57,0.42161,0.0347,279
304,2014/11/14 2:00,13.37,0.57604,0.0769,464
305,2014/11/14 3:00,21.87,0.22574,0.0771,314
306,2014/11/14 4:00,21.75,0.04678,0.0249,40
307,2014/11/14 5:00,12.63,0.01569,0.0624,252
308,2014/11/14 6:00,12.6,0.86146,0.0597,220
309,2014/11/14 7:00,21.78,0.34927,0.0889,134
310,2014/11/14 8:00,15.18,0.17567,0.0638,481
311,2014/11/14 9:00,20.11,0.3755,0.0973,461
312,2014/11/14 10:00,19.03,0.15299,0.0356,192
313,2014/11/14 11:00,19.15,0.48269,0.0932,125
314,2014/11/14 12:00,10.51,0.9678,0.0299,476
315,2014/11/14 13:00,21.75,0.2663,0.018,25
316,2014/11/14 14:00,17.16,0.25396,0.026,367
317,2014/11/14 15:00,22.37,0.48686,0.0799,233
318,2014/11/14 16:00,14.18,0.45179,0.0463,396
319,2014/11/14 17:00,23.71,0.47472,0.0348,260
320,2014/11/14 18:00,22.99,0.88725,0.0648,319
321,2014/11/14 19:00,17.16,0.19238,0.0677,487
322,2014/11/14 20:00,23.95,0.08694,0.0278,306
323,2014/11/14 21:00,11.73,0.84226,0.0446,447
324,2014/11/14 22:00,16.93,0.78968,0.0893,85
325,2014/11/14 23:00,17.17,0.00598,0.0156,85
326,2014/11/15 0:00,13.06,0.75357,0.0634,128
327,2014/11/15 1:00,21.49,0.20316,0.0107,155
328,2014/11/15 2:00,24.01,0.97143,0.0811,297
329,2014/11/15 3:00,18.24,0.11585,0.0921,240
330,2014/11/15 4:00,11.85,0.93613,0.0217,17
331,2014/11/15 5:00,18.7,0.80503,0.0034,282
332,2014/11/15 6:00,22.68,0.66016,0.0519,248
333,2014/11/15 7:00,24.17,0.28054,0.0391,290
334,2014/11/15 8:00,12.2,0.77493,0.0114,392
335,2014/11/15 9:00,18.79,0.87017,0.051,36
336,2014/11/15 10:00,14.62,0.73042,0.02,253
337,2014/11/15 11:00,17.65,0.21113,0.0532,46
338,2014/11/15 12:00,10.98,0.96613,0.0894,447
339,2014/11/15 13:00,23.38,0.82213,0.0716,361
340,2014/11/15 14:00,21.55,0.77143,0.0751,243
341,2014/11/15 15:00,12.66,0.12779,0.0067,163
342,2014/11/15 16:00,24.55,0.67121,0.0854,446
343,2014/11/15 17:00,20.81,0.61064,0.0454,415
344,2014/11/15 18:00,12.81,0.81912,0.0654,454
345,2014/11/15 19:00,12.12,0.82257,0.073,20
346,2014/11/15 20:00,16.33,0.17521,0.0975,87
347,2014/11/15 21:00,20.99,0.4733,0.0637,437
348,2014/11/15 22:00,14.1,0.40748,0.0844,202
349,2014/11/15 23:00,22.66,0.56147,0.025,11
350,2014/11/16 0:00,21.75,0.93332,0.0217,120
351,2014/11/16 1:00,21.99,0.2024,0.0812,479
352,2014/11/16 2:00,20.55,0.16891,0.0126,470
353,2014/11/16 3:00,18.87,0.80286,0.0441,73
354,2014/11/16 4:00,14.53,0.43222,0.0727,324
355,2014/11/16 5:00,22.88,0.62328,0.0567,288
356,2014/11/16 6:00,10.86,0.5868,0.0361,72
357,2014/11/16 7:00,14,0.88772,0.0326,476
358,2014/11/16 8:00,20.35,0.31379,0.0681,348
359,2014/11/16 9:00,18.62,0.6041,0.0309,313
360,2014/11/16 10:00,17.64,0.418,0.0971,338
361,2014/11/16 11:00,16.59,0.95313,0.0122,70
362,2014/11/16 12:00,24.36,0.24922,0.0335,43
363,2014/11/16 13:00,14.82,0.21624,0.0106,25
364,2014/11/16 14:00,14.93,0.13939,0.0598,135
365,2014/11/16 15:00,20.73,0.19268,0.0977,319
366,2014/11/16 16:00,14.69,0.7382,0.0844,228
367,2014/11/16 17:00,15.05,0.02006,0.0581,400
368,2014/11/16 18:00,10.94,0.83645,0.094,133
369,2014/11/16 19:00,14.94,0.0384,0.0116,174
370,2014/11/16 20:00,15.89,0.61169,0.013,185
371,2014/11/16 21:00,22.74,0.43643,0.0712,267
372,2014/11/16 22:00,18.55,0.6474,0.0507,60
373,2014/11/16 23:00,11.02,0.41148,0.0492,414
374,2014/11/17 0:00,13.98,0.50467,0.069,327
375,2014/11/17 1:00,24.49,0.54121,0.043,23
376,2014/11/17 2:00,15,0.48195,0.0982,438
377,2014/11/17 3:00,20.66,0.68369,0.0066,471
378,2014/11/17 4:00,19.95,0.15594,0.0071,230
379,2014/11/17 5:00,17.73,0.41706,0.0957,407
380,2014/11/17 6:00,18.4,0.02839,0.0616,494
381,2014/11/17 7:00,22.45,0.76954,0.0321,451
382,2014/11/17 8:00,23.85,0.73425,0.0088,287
383,2014/11/17 9:00,22.25,0.00769,0.0949,373
384,2014/11/17 10:00,22.78,0.42656,0.0311,223
385,2014/11/17 11:00,14.96,0.7887,0.0246,461
386,2014/11/17 12:00,22.15,0.19304,0.0588,238
387,2014/11/17 13:00,10.36,0.68322,0.0461,44
388,2014/11/17 14:00,21.23,0.25874,0.0708,250
389,2014/11/17 15:00,19.24,0.00199,0.0733,376
390,2014/11/17 16:00,13.04,0.17914,0.0857,187
391,2014/11/17 17:00,12.8,0.02318,0.0108,280
392,2014/11/17 18:00,10.56,0.91642,0.008,40
393,2014/11/17 19:00,21.35,0.16182,0.0459,85
394,2014/11/17 20:00,11.49,0.09696,0.0476,382
395,2014/11/17 21:00,22.58,0.03861,0.0055,118
396,2014/11/17 22:00,13.26,0.87749,0.073,119
397,2014/11/17 23:00,12.19,0.39022,0.0352,99
398,2014/11/18 0:00,12.05,0.97962,0.07,392
399,2014/11/18 1:00,22.31,0.41262,0.0535,312
400,2014/11/18 2:00,14.2,0.46483,0.0077,432
401,2014/11/18 3:00,12.17,0.11452,0.0953,163
402,2014/11/18 4:00,12.43,0.60559,0.0432,333
403,2014/11/18 5:00,23.45,0.32737,0.0209,218
404,2014/11/18 6:00,20.48,0.82175,0.0225,272
405,2014/11/18 7:00,10.32,0.77258,0.0119,258
406,2014/11/18 8:00,22.11,0.38004,0.0775,170
407,2014/11/18 9:00,14.18,0.76706,0.0966,250
408,2014/11/18 10:00,20.22,0.75123,0.0817,481
409,2014/11/18 11:00,19.78,0.19004,0.0121,84
410,2014/11/18 12:00,13.87,0.91345,0.0115,154
411,2014/11/18 13:00,16.06,0.10632,0.046,358
412,2014/11/18 14:00,19.72,0.27214,0.0337,52
413,2014/11/18 15:00,15.47,0.65625,0.0187,190
414,2014/11/18 16:00,23.3,0.73398,0.0378,481
415,2014/11/18 17:00,21.66,0.20077,0.012,49
416,2014/11/18 18:00,16.88,0.90245,0.0847,178
417,2014/11/18 19:00,13.64,0.59762,0.0522,211
418,2014/11/18 20:00,15.61,0.94102,0.0123,403
419,2014/11/18 21:00,17.01,0.30957,0.0125,365
420,2014/11/18 22:00,20.09,0.16253,0.0966,368
421,2014/11/18 23:00,16.29,0.11358,0.0797,87
422,2014/11/19 0:00,17.13,0.38619,0.0423,471
423,2014/11/19 1:00,13.31,0.35083,0.0146,270
424,2014/11/19 2:00,22.23,0.02778,0.0373,143
425,2014/11/19 3:00,22.86,0.02991,0.03,63
426,2014/11/19 4:00,23.43,0.52828,0.0248,407
427,2014/11/19 5:00,14.89,0.33389,0.0011,429
428,2014/11/19 6:00,24.88,0.04758,0.0578,412
429,2014/11/19 7:00,11.23,0.54723,0.0859,334
430,2014/11/19 8:00,18.79,0.08035,0.022,283
431,2014/11/19 9:00,16.1,0.53465,0.0027,446
432,2014/11/19 10:00,21.18,0.39681,0.0674,223
433,2014/11/19 11:00,15.84,0.66689,0.0953,409
434,2014/11/19 12:00,13.03,0.00689,0.0499,142
435,2014/11/19 13:00,16.17,0.52115,0.0077,108
436,2014/11/19 14:00,13.31,0.5181,0.0929,222
437,2014/11/19 15:00,22.26,0.4831,0.0353,311
438,2014/11/19 16:00,11.15,0.14059,0.0252,322
439,2014/11/19 17:00,21.06,0.53818,0.0951,224
440,2014/11/19 18:00,15.85,0.05607,0.016,259
441,2014/11/19 19:00,12.23,0.74196,0.0895,357
442,2014/11/19 20:00,11.02,0.26562,0.0031,487
443,2014/11/19 21:00,17.92,0.8105,0.0195,61
444,2014/11/19 22:00,11.78,0.93881,0.0195,391
445,2014/11/19 23:00,17.13,0.43419,0.0361,223
446,2014/11/20 0:00,16.08,0.40791,0.0605,276
447,2014/11/20 1:00,17.76,0.86319,0.0915,230
448,2014/11/20 2:00,23.24,0.16999,0.0826,256
449,2014/11/20 3:00,13.96,0.18559,0.0683,400
450,2014/11/20 4:00,15.59,0.24597,0.0189,165
451,2014/11/20 5:00,12.11,0.4205,0.0311,465
452,2014/11/20 6:00,17.65,0.10535,0.0073,94
453,2014/11/20 7:00,20.43,0.15295,0.0243,404
454,2014/11/20 8:00,21.82,0.57918,0.0333,78
455,2014/11/20 9:00,14.18,0.75195,0.052,218
456,2014/11/20 10:00,20.79,0.47987,0.0909,177
457,2014/11/20 11:00,23.43,0.643,0.0869,30
458,2014/11/20 12:00,11.68,0.75608,0.0399,465
459,2014/11/20 13:00,18.93,0.68176,0.0832,107
460,2014/11/20 14:00,23.87,0.88041,0.0364,209
461,2014/11/20 15:00,13.83,0.53529,0.0727,102
462,2014/11/20 16:00,14.6,0.57752,0.0745,11
463,2014/11/20 17:00,22.33,0.32175,0.0817,289
464,2014/11/20 18:00,17.43,0.97709,0.0429,360
465,2014/11/20 19:00,22.47,0.32167,0.0298,86
466,2014/11/20 20:00,23.97,0.98378,0.0295,146
467,2014/11/20 21:00,13.38,0.2207,0.0721,388
468,2014/11/20 22:00,23.63,0.60197,0.0086,80
469,2014/11/20 23:00,15.68,0.83294,0.0807,55
470,2014/11/21 0:00,14.28,0.7284,0.0034,66
471,2014/11/21 1:00,12.8,0.87898,0.0465,384
472,2014/11/21 2:00,19.89,0.10862,0.0963,404
473,2014/11/21 3:00,24.17,0.03086,0.0936,44
474,2014/11/21 4:00,22.17,0.55198,0.0952,86
475,2014/11/21 5:00,11.68,0.61655,0.003,207
476,2014/11/21 6:00,18.53,0.84891,0.0873,476
477,2014/11/21 7:00,21.4,0.01356,0.0321,447
478,2014/11/21 8:00,15.25,0.04175,0.0718,429
479,2014/11/21 9:00,21.34,0.48062,0.0238,233
480,2014/11/21 10:00,18.93,0.08156,0.0641,38
481,2014/11/21 11:00,18,0.65255,0.0062,201
482,2014/11/21 12:00,23.41,0.90003,0.0074,409
483,2014/11/21 13:00,16.63,0.91382,0.098,170
